"initial_alias","converted_alias","name","description","namespace"
"HSA-LET-7A-2","ENSG00000198975","MIRLET7A2","microRNA let-7a-2 [Source:HGNC Symbol;Acc:HGNC:31477]","MIRBASE"
"HSA-LET-7A","None","None","None",""
"HSA-LET-7A","None","None","None",""
"HSA-LET-7B","ENSG00000284520","MIRLET7B","microRNA let-7b [Source:HGNC Symbol;Acc:HGNC:31479]","MIRBASE"
"HSA-LET-7B","ENSG00000284520","MIRLET7B","microRNA let-7b [Source:HGNC Symbol;Acc:HGNC:31479]","MIRBASE"
"HSA-LET-7C","ENSG00000199030","MIRLET7C","microRNA let-7c [Source:HGNC Symbol;Acc:HGNC:31480]","MIRBASE"
"HSA-LET-7C","ENSG00000199030","MIRLET7C","microRNA let-7c [Source:HGNC Symbol;Acc:HGNC:31480]","MIRBASE"
"HSA-LET-7D","ENSG00000199133","MIRLET7D","microRNA let-7d [Source:HGNC Symbol;Acc:HGNC:31481]","MIRBASE"
"HSA-LET-7D","ENSG00000199133","MIRLET7D","microRNA let-7d [Source:HGNC Symbol;Acc:HGNC:31481]","MIRBASE"
"HSA-LET-7E","ENSG00000198972","MIRLET7E","microRNA let-7e [Source:HGNC Symbol;Acc:HGNC:31482]","MIRBASE"
"HSA-LET-7E","ENSG00000198972","MIRLET7E","microRNA let-7e [Source:HGNC Symbol;Acc:HGNC:31482]","MIRBASE"
"HSA-LET-7F-1","ENSG00000199072","MIRLET7F1","microRNA let-7f-1 [Source:HGNC Symbol;Acc:HGNC:31483]","MIRBASE"
"HSA-LET-7F-2","ENSG00000208012","MIRLET7F2","microRNA let-7f-2 [Source:HGNC Symbol;Acc:HGNC:31484]","MIRBASE"
"HSA-LET-7F","None","None","None",""
"HSA-LET-7G","ENSG00000199150","MIRLET7G","microRNA let-7g [Source:HGNC Symbol;Acc:HGNC:31485]","MIRBASE"
"HSA-LET-7G","ENSG00000199150","MIRLET7G","microRNA let-7g [Source:HGNC Symbol;Acc:HGNC:31485]","MIRBASE"
"HSA-LET-7I","ENSG00000199179","MIRLET7I","microRNA let-7i [Source:HGNC Symbol;Acc:HGNC:31486]","MIRBASE"
"HSA-LET-7I","ENSG00000199179","MIRLET7I","microRNA let-7i [Source:HGNC Symbol;Acc:HGNC:31486]","MIRBASE"
"HSA-MIR-100","ENSG00000207994","MIR100","microRNA 100 [Source:HGNC Symbol;Acc:HGNC:31487]","MIRBASE"
"HSA-MIR-100","ENSG00000207994","MIR100","microRNA 100 [Source:HGNC Symbol;Acc:HGNC:31487]","MIRBASE"
"HSA-MIR-101-2","ENSG00000199065","MIR101-2","microRNA 101-2 [Source:HGNC Symbol;Acc:HGNC:31489]","MIRBASE"
"HSA-MIR-101","None","None","None",""
"HSA-MIR-101","None","None","None",""
"HSA-MIR-10226","None","None","None",""
"HSA-MIR-10392","None","None","None",""
"HSA-MIR-10392","None","None","None",""
"HSA-MIR-10393","None","None","None",""
"HSA-MIR-10393","None","None","None",""
"HSA-MIR-10394","None","None","None",""
