feature	FTA-10_1	FTA-1_1	FTA-11_1	FTA-12_1	FTA-13_1	FTA-14_1	FTA-15_1	FTA-16_1	FTA-17_1	FTA-18_1	FTA-19_1	FTA-20_1	FTA-2_1	FTA-23_1	FTA-24_1	FTA-3_1	FTA-4_1	FTA-5_1	FTA-6_1	FTA-9_1	FTC-10_1	FTC-1_1	FTC-11_1	FTC-12_1	FTC-13_1	FTC-14_1	FTC-15_1	FTC-16_1	FTC-17_1	FTC-18_1	FTC-19_1	FTC-20_1	FTC-2_1	FTC-21_1	FTC-22_1	FTC-3_1	FTC-4_1	FTC-5_1	FTC-6_1	FTC-7_1	FTC-8_1
(CACCCG)n::chr22:19766707-19766752(+)_0_20_+|genomic|(CACCCG)n::chr22:19766707-19766752(+)_0_20_+|peak_1|(CACCCG)n::chr22:19766707-19766752(+)|0|20	24	19	36	9	12	19	15	36	6	7	6	4	8	4	7	9	7	8	28	14	2	4	3	6	13	0	17	5	5	3	4	6	67	6	5	31	2	8	3	4	6
(GATA)n::chr12:114233646-114233938(+)_60_80_+|genomic|(GATA)n::chr12:114233646-114233938(+)_60_80_+|peak_2|(GATA)n::chr12:114233646-114233938(+)|60|80	5	18	13	4	6	16	6	10	1	4	2	4	3	6	2	0	0	0	0	0	5	3	6	9	17	9	29	3	3	6	2	10	24	2	3	11	5	0	2	1	15
(GGAGCGC)n::chr1:36084106-36084143(+)_0_37_+|genomic|(GGAGCGC)n::chr1:36084106-36084143(+)_0_37_+|peak_3|(GGAGCGC)n::chr1:36084106-36084143(+)|0|37	103	81	52	152	62	37	61	116	21	77	39	50	32	42	53	35	68	56	283	27	68	48	24	23	28	80	36	62	55	50	59	50	210	61	46	144	61	108	39	53	23
(GGC)n::chr4:7043238-7043576(+)_200_240_+|genomic|(GGC)n::chr4:7043238-7043576(+)_200_240_+|peak_4|(GGC)n::chr4:7043238-7043576(+)|200|240	16	6	2	22	8	2	5	18	1	5	3	5	6	7	8	8	5	9	33	8	11	5	2	1	3	5	1	7	3	6	7	10	17	6	8	24	7	14	2	2	3
(GGCTC)n::chr11:1389654-1389947(+)_80_120_+|genomic|(GGCTC)n::chr11:1389654-1389947(+)_80_120_+|peak_5|(GGCTC)n::chr11:1389654-1389947(+)|80|120	11	26	11	19	9	11	10	12	4	7	10	10	46	10	11	10	30	15	29	3	8	9	14	4	3	2	0	6	8	6	7	12	30	8	7	38	11	50	14	15	8
12958_0_40_+|genomic|12958_0_40_+|peak_6|12958|0|40	17	61	45	44	28	39	27	30	24	41	19	15	23	18	20	13	34	74	51	8	20	22	13	16	13	4	13	28	24	17	21	16	122	32	10	58	23	54	20	44	32
12965_0_40_+|genomic|12965_0_40_+|peak_7|12965|0|40	13	21	13	4	269	7	1	4	8	3	25	15	4	23	24	0	6	36	28	5	4	24	9	49	4	5	3	36	26	30	35	0	34	43	20	28	31	11	2	9	1
12971_0_20_+|genomic|12971_0_20_+|peak_8|12971|0|20	2	20	3	12	11	6	1	7	1	3	11	7	14	9	15	2	7	6	4	8	7	15	6	5	4	6	8	12	7	11	9	1	25	14	9	50	10	12	5	12	0
12981_0_40_+|genomic|12981_0_40_+|peak_9|12981|0|40	15	60	65	39	25	40	37	35	19	56	16	12	25	21	19	15	26	77	57	8	20	20	18	7	12	6	9	27	20	24	22	20	121	27	16	59	26	45	20	41	29
12985_0_72_+|genomic|12985_0_72_+|peak_10|12985|0|72	74	247	195	241	5676	220	61	187	103	137	209	72	108	72	87	61	127	266	341	59	105	72	121	141	175	82	47	119	76	80	102	96	320	139	66	346	110	194	97	197	93
12991_0_72_+|genomic|12991_0_72_+|peak_11|12991|0|72	87	232	212	249	5666	211	62	211	94	124	202	65	130	49	81	66	140	245	339	63	110	73	120	139	163	72	61	115	78	90	111	81	331	129	68	386	99	226	90	173	103
12999_40_80_+|genomic|12999_40_80_+|peak_12|12999|40|80	7	18	12	6	12	16	6	6	5	16	12	8	10	8	9	4	23	15	25	9	9	11	9	4	3	1	4	13	10	9	9	6	28	13	8	23	9	33	6	3	4
13011_0_71_+|genomic|13011_0_71_+|peak_13|13011|0|71	95	231	548	414	883	823	107	379	218	179	262	45	261	41	69	141	191	131	149	237	508	61	400	188	203	367	253	61	79	75	86	205	392	111	38	326	69	368	284	431	213
13015_0_60_+|genomic|13015_0_60_+|peak_14|13015|0|60	26	45	77	82	60	121	24	124	21	51	30	6	57	2	12	24	29	22	26	38	106	11	54	17	44	20	24	12	13	7	21	32	113	21	9	103	20	55	25	56	44
13019_0_40_+|genomic|13019_0_40_+|peak_15|13019|0|40	22	24	48	32	24	40	9	103	8	31	16	2	19	2	6	17	9	2	2	6	26	6	24	15	22	2	10	5	3	5	6	18	39	9	1	45	6	15	12	24	27
13020_0_20_+|genomic|13020_0_20_+|peak_16|13020|0|20	10	16	15	5	270	8	3	2	11	2	23	20	5	23	20	1	3	35	30	4	1	26	9	51	4	3	3	27	25	34	33	0	34	32	26	25	29	11	2	11	3
13022_0_40_+|genomic|13022_0_40_+|peak_17|13022|0|40	18	30	49	40	25	49	13	103	5	25	10	3	23	7	7	11	9	2	3	5	27	12	22	12	15	5	10	9	3	8	11	20	37	10	4	42	7	13	10	15	26
13026_0_40_+|genomic|13026_0_40_+|peak_18|13026|0|40	29	55	23	89	39	17	52	29	8	42	33	23	19	22	36	16	28	101	286	58	46	28	16	10	18	37	26	28	26	22	40	40	203	41	26	95	30	96	32	38	27
