feature	csFTC-2_1	csFTC-3_1	csFTC-4_1	csFTC-5_1	csFTC-6_1	csFTC-7_1	csFTC-8_1	csFTC-10_1	csFTC-11_1	csFTC-13_1	csFTC-14_1	csFTC-15_1	csFTC-20_1	csFTC-1_1	csFTC-16_1	csFTC-17_1	csFTC-18_1	csFTC-19_1	csFTC-21_1	csFTC-22_1	csFTA-1_1	csFTA-2_1	csFTA-3_1	csFTA-4_1	csFTA-6_1	csFTA-10_1	csFTA-11_1	csFTA-12_1	csFTA-13_1	csFTA-15_1	csFTA-16_1	csFTA-17_1	csFTA-18_1	csFTA-9_1	csFTA-20_1	csFTA-23_1	csFTA-24_1
(CACCCG)n::chr22:19766707-19766752(+)_0_20_+|genomic|(CACCCG)n::chr22:19766707-19766752(+)_0_20_+|peak_1|(CACCCG)n::chr22:19766707-19766752(+)|0|20	37	20	6	10	3	4	8	6	93	36	56	116	1	41	15	30	12	16	22	34	9	5	10	8	5	4	0	2	6	5	31	43	47	32	59	33	28
(GATA)n::chr12:114233646-114233938(+)_60_80_+|genomic|(GATA)n::chr12:114233646-114233938(+)_60_80_+|peak_2|(GATA)n::chr12:114233646-114233938(+)|60|80	0	6	4	3	0	7	3	4	16	28	10	25	2	28	4	25	14	19	0	28	1	2	4	1	7	3	0	1	0	3	17	27	27	13	51	38	18
(GGAGCGC)n::chr1:36084106-36084143(+)_0_37_+|genomic|(GGAGCGC)n::chr1:36084106-36084143(+)_0_37_+|peak_3|(GGAGCGC)n::chr1:36084106-36084143(+)|0|37	117	51	119	17	0	0	71	62	68	30	119	63	3	111	35	55	42	35	21	130	16	35	72	35	1	83	2	3	50	68	52	55	206	136	165	90	114
(GGC)n::chr4:7043238-7043576(+)_200_240_+|genomic|(GGC)n::chr4:7043238-7043576(+)_200_240_+|peak_4|(GGC)n::chr4:7043238-7043576(+)|200|240	14	15	15	5	0	0	10	7	8	5	20	12	0	24	1	4	1	8	1	15	5	6	9	8	0	8	0	0	7	5	6	6	19	16	30	11	3
(GGCTC)n::chr11:1389654-1389947(+)_80_120_+|genomic|(GGCTC)n::chr11:1389654-1389947(+)_80_120_+|peak_5|(GGCTC)n::chr11:1389654-1389947(+)|80|120	17	0	13	1	1	5	13	8	1	0	4	3	1	0	0	0	0	1	0	1	5	5	0	1	2	14	4	1	13	12	1	2	1	2	4	0	3
12958_0_40_+|genomic|12958_0_40_+|peak_6|12958|0|40	17	9	42	14	2	9	31	32	5	6	8	6	9	2	11	5	2	5	1	4	12	10	10	6	22	38	1	9	30	36	3	8	7	19	16	6	16
12965_0_40_+|genomic|12965_0_40_+|peak_7|12965|0|40	6	21	7	47	0	2	42	38	7	6	3	1	2	0	0	15	6	1	3	1	2	3	2	2	3	50	0	0	27	45	5	3	2	1	4	3	13
12971_0_20_+|genomic|12971_0_20_+|peak_8|12971|0|20	5	1	18	0	0	13	14	16	1	2	1	0	1	0	0	1	1	2	3	1	0	1	0	0	16	14	1	4	3	16	1	1	4	4	1	3	3
12981_0_40_+|genomic|12981_0_40_+|peak_9|12981|0|40	21	13	45	15	3	12	38	47	3	6	4	4	8	0	9	4	2	6	1	2	13	8	7	3	22	44	2	5	37	41	5	7	1	26	9	5	7
12985_0_72_+|genomic|12985_0_72_+|peak_10|12985|0|72	125	80	187	107	87	224	163	139	66	20	29	43	91	25	20	110	85	18	18	13	36	57	82	50	143	155	127	125	180	202	24	23	47	56	46	33	40
12991_0_72_+|genomic|12991_0_72_+|peak_11|12991|0|72	132	76	201	101	90	220	153	130	71	32	31	29	99	13	21	89	63	20	18	11	28	69	68	55	159	144	139	137	184	209	24	27	56	59	55	32	36
12999_40_80_+|genomic|12999_40_80_+|peak_12|12999|40|80	28	5	14	0	6	9	9	9	4	3	8	8	3	1	2	2	1	2	3	1	4	5	2	0	7	14	2	1	11	12	4	2	2	5	7	3	2
13011_0_71_+|genomic|13011_0_71_+|peak_13|13011|0|71	102	82	208	82	74	379	93	102	168	26	28	36	79	5	40	179	68	17	6	11	36	60	165	141	107	89	180	121	126	105	20	19	16	69	30	10	25
13015_0_60_+|genomic|13015_0_60_+|peak_14|13015|0|60	20	32	68	19	37	200	24	18	63	14	26	21	25	4	4	34	23	5	0	1	18	30	68	44	50	19	57	57	17	19	6	4	3	27	10	8	1
13019_0_40_+|genomic|13019_0_40_+|peak_15|13019|0|40	6	7	30	10	8	56	12	8	9	0	3	2	6	0	2	14	15	0	0	3	9	15	31	12	19	9	5	16	3	11	2	3	4	8	2	1	2
13020_0_20_+|genomic|13020_0_20_+|peak_16|13020|0|20	4	19	9	45	0	3	38	31	4	3	3	2	2	1	0	10	1	1	3	0	1	4	2	3	3	39	0	0	21	45	4	2	1	1	3	2	20
13022_0_40_+|genomic|13022_0_40_+|peak_17|13022|0|40	3	9	34	8	5	68	6	8	8	1	1	8	5	2	3	14	10	1	0	0	3	18	27	10	17	8	6	21	3	8	0	1	2	11	1	1	3
13026_0_40_+|genomic|13026_0_40_+|peak_18|13026|0|40	83	56	51	14	1	1	44	55	50	42	51	42	3	48	20	35	25	41	18	26	17	19	23	22	0	56	3	3	86	43	35	48	125	87	82	64	50
13027_20_72_+|genomic|13027_20_72_+|peak_19|13027|20|72	47	31	113	37	65	159	52	47	25	13	13	17	66	3	11	27	3	7	13	4	18	35	31	29	114	57	98	97	62	51	6	14	30	17	26	13	12
13029_40_72_+|genomic|13029_40_72_+|peak_20|13029|40|72	4	20	39	13	1	4	26	29	22	17	9	14	0	1	5	4	6	11	1	8	6	8	4	8	0	28	1	1	23	26	15	16	15	33	10	10	16
13031_40_80_+|genomic|13031_40_80_+|peak_21|13031|40|80	43	10	58	9	18	16	28	29	7	15	17	13	4	13	4	8	2	5	9	18	2	10	6	6	9	32	8	7	46	33	9	14	15	21	34	9	9
13035_0_60_+|genomic|13035_0_60_+|peak_22|13035|0|60	41	35	38	15	14	58	61	64	283	13	42	31	6	7	8	382	41	1	3	6	14	16	58	103	31	56	21	14	18	68	10	22	10	8	18	5	42
13040_20_60_+|genomic|13040_20_60_+|peak_23|13040|20|60	7	8	17	2	10	16	7	5	11	2	0	3	8	1	0	5	11	0	1	0	7	4	9	6	6	5	3	1	6	9	0	0	0	1	1	0	1
19359_0_40_+|genomic|19359_0_40_+|peak_24|19359|0|40	26	16	29	8	0	1	15	20	19	21	31	28	0	19	11	17	21	46	15	26	12	2	20	11	1	20	2	3	11	20	38	37	43	67	47	39	31
19697_40_73_+|genomic|19697_40_73_+|peak_25|19697|40|73	10	36	5	24	2	4	54	51	7	5	10	1	0	3	1	23	2	4	4	7	1	4	4	2	7	63	12	1	28	71	6	5	5	5	4	2	21
20044_0_40_+|genomic|20044_0_40_+|peak_26|20044|0|40	8	3	9	1	8	18	9	8	5	1	1	0	10	0	1	3	12	0	0	0	4	3	8	5	5	4	49	5	12	13	0	0	0	1	0	0	3
